ANSTO ID,ID,Phase,Context,Species,δ13C,Adjusted δ13C,values,mean_depth,max_depth,min_depth,phase_chr,square,spit,Elevation,depth_below_ground_surface,depth_by_context
SI5799 ,MJB156 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5800 ,MJB157 ,3a,C2/34A,Pandanus sp.,-24.7,-27.512,-27.512,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5801 ,MJB158 ,3a,C2/34A,Pandanus sp.,-24.1,-26.912000000000003,-26.912000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5802 ,MJB159 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5803 ,MJB160 ,3a,C2/34A,Pandanus sp.,-25.4,-28.212,-28.212,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5805 ,MJB162 ,3a,C2/34A,Pandanus sp.,-24.5,-27.312000000000001,-27.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5809 ,MJB166 ,3a,C2/34A,Pandanus sp.,-26.1,-28.912000000000003,-28.912000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5812 ,MJB169 ,3a,C2/34A,Pandanus sp.,-25.5,-28.312000000000001,-28.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5814 ,MJB171 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5877,MJB200,3a,C2/33A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5879,MJB202,3a,C2/33A,Pandanus sp.,-24.6,-27.412000000000003,-27.412000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5880,MJB203,3a,C2/33A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
