tape,total_station
2.35,98.45772165000001
2.36,98.44824404
2.37,98.43876643
2.38,98.42928882000001
2.3899999999999997,98.41981121
2.4,98.4103336
2.4099999999999997,98.40085599000001
2.42,98.39137838
2.4299999999999997,98.38190077
2.44,98.37242316000001
2.4499999999999997,98.36294555
2.46,98.35346794
2.4699999999999998,98.34399033000001
2.48,98.33451272
2.4899999999999998,98.32503511
2.5,98.31555750000001
2.51,98.30607989
2.52,98.29660228
2.53,98.28712467
2.54,98.27764706
2.55,98.26816945
2.56,98.25869184
2.57,98.24921423
2.58,98.23973662
2.59,98.23025901
2.6,98.2207814
2.61,98.21130379
2.62,98.20182618
2.63,98.19234857000001
2.6399999999999997,98.18287096
2.65,98.17339335
2.6599999999999997,98.16391574000001
2.67,98.15443813
2.6799999999999997,98.14496052
